brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Mercedes Benz,E Class,2022.0,18000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1789000000
Hyundai,Sonata,2011.0,110000.0,Xăng,Tự động,Hàn Quốc,Sedan,5.0,296000000
Toyota,Fortuner,2016.0,115686.0,Dầu,Số sàn,Việt Nam,SUV / Cross over,7.0,520000000
Toyota,Sienna,2003.0,100000.0,Xăng,Tự động,Mỹ,Minivan (MPV),8.0,299000000
Kia,Morning,2020.0,35000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,315000000
Mitsubishi,Xforce,2024.0,5000.0,Xăng,Tự động,Nước khác,SUV / Cross over,5.0,655000000
Mercedes Benz,S Class,2015.0,100000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1279000000
Mitsubishi,Pajero Sport,2012.0,87000.0,Xăng,Tự động,Thái Lan,SUV / Cross over,7.0,325000000
Kia,Sportage,2023.0,35800.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,860000000
Peugeot,3008,2022.0,24000.0,Xăng,Tự động,Việt Nam,Kiểu dáng khác,5.0,875000000
Mazda,CX 5,2023.0,24000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,865000000
Ford,Territory,2023.0,43000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,665000000
Ford,Fiesta,2011.0,100000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,170000000
Lexus,RX,2023.0,17000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,5.0,3434000000
Mitsubishi,Xpander,2024.0,43000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),7.0,600000000
Ford,Everest,2024.0,16000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,7.0,1305000000
Honda,City,2023.0,20000.0,Xăng,Tự động,Việt Nam,Sedan,2.0,525000000
Mercedes Benz,C Class,2020.0,33000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,1068000000
Honda,City,2018.0,70000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,380000000
Mercedes Benz,C Class,2018.0,54000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,780000000
Toyota,Innova,2006.0,320000.0,Xăng,Số sàn,Việt Nam,Sedan,8.0,118000000
Honda,City,2017.0,96000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,326000000
Daewoo,Gentra,2011.0,145000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,119000000
Toyota,Corolla Altis,2015.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,365000000
Lexus,RX,2021.0,12000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,5.0,3859000000
