brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,price
Ford,Ranger,2018.0,56000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,630000000
Ford,Everest,2022.0,48000.0,Dầu,Tự động,Thái Lan,SUV / Cross over,9.0,1179000000
Mazda,3,2017.0,85000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,420000000
Chevrolet,Cruze,2017.0,1234.0,Xăng,Tự động,Việt Nam,Sedan,5.0,305000000
Mazda,3,2022.0,38000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,588000000
Toyota,Rush,2020.0,77000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,488000000
Honda,CR V,2021.0,66000.0,Xăng,5,Việt Nam,SUV / Cross over,7.0,855000000
Ford,Transit,2018.0,127000.0,Dầu,Số sàn,Việt Nam,Minivan (MPV),16.0,445000000
Hyundai,Elantra,2020.0,76000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,475000000
Mercedes Benz,C Class,2024.0,2600.0,Xăng,Tự động,Đức,Sedan,5.0,4799000000
Hyundai,Grand i10,2015.0,250000.0,Xăng,Số sàn,Việt Nam,Hatchback,5.0,105000000
Ford,Ranger,2016.0,100000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,558000000
Toyota,Fortuner,2016.0,82400.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,571000000
Hyundai,Accent,2023.0,9800.0,Xăng,Tự động,Việt Nam,Sedan,5.0,458000000
Ford,Ranger,2023.0,490000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,1165000000
Nissan,Sunny,2013.0,160000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,130000000
Ford,Ranger,2022.0,29900.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,745000000
Peugeot,3008,2018.0,90000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),5.0,569000000
VinFast,Lux SA2.0,2019.0,70000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,620000000
Mercedes Benz,C Class,2018.0,70000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,899000000
Hyundai,Grand i10,2016.0,35000.0,Xăng,Tự động,Hàn Quốc,Hatchback,5.0,300000000
VinFast,Lux A2.0,2022.0,160000.0,Xăng,Tự động,Việt Nam,Sedan,2.0,490000000
Kia,Soluto,2024.0,31000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,405000000
Ford,Ranger,2023.0,48000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,1165000000
Mazda,CX 5,2017.0,98000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,539000000
Kia,Sonet,2023.0,16000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,563000000
Toyota,Innova,2014.0,75000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),7.0,365000000
Ford,Explorer,2017.0,65000.0,Xăng,Tự động,Mỹ,SUV / Cross over,8.0,965000000
Toyota,Innova,2016.0,128000.0,Xăng,Số sàn,Việt Nam,Minivan (MPV),8.0,395000000
Toyota,Vios,2018.0,148000.0,Xăng,Tự động,Nhật Bản,Sedan,5.0,319000000
Mitsubishi,Xpander,2019.0,89000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,455000000
Mazda,CX 8,2021.0,19000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,7.0,780000000
Chevrolet,Captiva,2009.0,186568.0,Xăng,Số sàn,Việt Nam,SUV / Cross over,7.0,169000000
Mitsubishi,Xpander,2022.0,117000.0,Xăng,Tự động,Việt Nam,Minivan (MPV),7.0,479000000
