brand,model,year,mileage,fuel_type,transmission,origin,car_type,seats,condition,price
Toyota,Innova,2006.0,320000.0,Xăng,Số sàn,Việt Nam,Sedan,8.0,Đã sử dụng,118000000
Honda,City,2017.0,96000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,326000000
Daewoo,Gentra,2011.0,145000.0,Xăng,Số sàn,Việt Nam,Sedan,5.0,Đã sử dụng,119000000
Toyota,Corolla Altis,2015.0,78000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,365000000
Lexus,RX,2021.0,12000.0,Xăng,Tự động,Nhật Bản,SUV / Cross over,5.0,Đã sử dụng,3859000000
Mazda,6,2019.0,21000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,525000000
VinFast,VF3,2025.0,0.0,Điện,Tự động,Việt Nam,SUV / Cross over,4.0,Đã sử dụng,225000000
Ford,Ranger,2023.0,68000.0,Dầu,Tự động,Việt Nam,Pick-up (bán tải),5.0,Đã sử dụng,630000000
Mercedes Benz,C Class,2011.0,140000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,310000000
Honda,Civic,2006.0,126000.0,Xăng,Số sàn,Nước khác,Hatchback,5.0,Đã sử dụng,186000000
Mitsubishi,Grandis,2005.0,125000.0,Xăng,Tự động,Nhật Bản,Minivan (MPV),5.0,Đã sử dụng,158000000
Toyota,1116,2022.0,38000.0,Xăng,Tự động,Nước khác,Minivan (MPV),9.0,Đã sử dụng,585000000
Ford,Ranger,2014.0,179000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,339000000
Mazda,3,2019.0,65412.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,550000000
Ford,Fiesta,2014.0,70000.0,Xăng,Tự động,Việt Nam,Hatchback,5.0,Đã sử dụng,259000000
Mitsubishi,Xpander,2022.0,66000.0,Xăng,Tự động,Nước khác,Minivan (MPV),9.0,Đã sử dụng,540000000
Nissan,Navara,2020.0,45000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,495000000
Mercedes Benz,C Class,2016.0,65000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,679000000
Chevrolet,Colorado,2017.0,85000.0,Dầu,Số sàn,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,296000000
Ford,EcoSport,2019.0,52999.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,435000000
Toyota,Fortuner,2020.0,35000.0,Dầu,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,890000000
Mercedes Benz,C Class,2020.0,38000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,999000000
Hyundai,Grand i10,2017.0,91000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,385000000
Suzuki,Ertiga,2019.0,100000.0,Xăng,Số sàn,Nước khác,SUV / Cross over,7.0,Đã sử dụng,340000000
Mercedes Benz,S Class,2019.0,48000.0,Xăng,Tự động,Việt Nam,Sedan,5.0,Đã sử dụng,2299000000
Mazda,CX 5,2020.0,42000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,660000000
Kia,Carnival,2022.0,30000.0,Dầu,Tự động,Việt Nam,Minivan (MPV),7.0,Đã sử dụng,1309000000
Mitsubishi,Xpander,2021.0,40000.0,Xăng,Tự động,Nước khác,Minivan (MPV),7.0,Đã sử dụng,525000000
Mitsubishi,Mirage,2018.0,70000.0,Xăng,Tự động,Thái Lan,Hatchback,5.0,Đã sử dụng,250000000
Hyundai,Stargazer,2022.0,60000.0,Xăng,Tự động,Nước khác,SUV / Cross over,7.0,Đã sử dụng,475000000
Toyota,Corolla Cross,2021.0,25000.0,Xăng,5,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,699000000
Ford,Ranger,2021.0,38000.0,Dầu,Tự động,Thái Lan,Pick-up (bán tải),5.0,Đã sử dụng,755000000
Mercedes Benz,GLC,2022.0,9000.0,Xăng,Tự động,Việt Nam,SUV / Cross over,5.0,Đã sử dụng,1459000000
